date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:15	97497/97497	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2018:51:21%20GMT	https://sinalizadorlucrativo.com.br/	C:/Meus%20Sites/SinalizadorLucrativo/sinalizadorlucrativo.com.br/index.html	(from )
16:35:17	190/190	---MC-	200	added ('OK')	text/plain	date:Fri,%2003%20Mar%202023%2019:34:45%20GMT	https://sinalizadorlucrativo.com.br/robots.txt		(from )
16:35:17	94889/94889	---M--	200	added ('OK')	text/css	date:Wed,%2016%20Nov%202022%2002:49:57%20GMT	https://sinalizadorlucrativo.com.br/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/Meus%20Sites/SinalizadorLucrativo/sinalizadorlucrativo.com.br/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://sinalizadorlucrativo.com.br/)
16:35:17	2467/2467	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2003%20Mar%202023%2004:25:32%20GMT	https://sinalizadorlucrativo.com.br/feed/	C:/Meus%20Sites/SinalizadorLucrativo/sinalizadorlucrativo.com.br/feed/index.html	(from https://sinalizadorlucrativo.com.br/)
16:35:18	217/217	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2002:41:25%20GMT	https://sinalizadorlucrativo.com.br/wp-includes/css/classic-themes.min.css?ver=1	C:/Meus%20Sites/SinalizadorLucrativo/sinalizadorlucrativo.com.br/wp-includes/css/classic-themes.min68b3.css	(from https://sinalizadorlucrativo.com.br/)
16:35:18	1751/1751	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2003%20Mar%202023%2004:25:32%20GMT	https://sinalizadorlucrativo.com.br/comments/feed/	C:/Meus%20Sites/SinalizadorLucrativo/sinalizadorlucrativo.com.br/comments/feed/index.html	(from https://sinalizadorlucrativo.com.br/)
16:35:18	6051/6051	---M--	200	added ('OK')	text/css	date:Sat,%2010%20Sep%202022%2018:42:42%20GMT	https://sinalizadorlucrativo.com.br/wp-content/themes/hello-elementor/style.min.css?ver=2.6.1	C:/Meus%20Sites/SinalizadorLucrativo/sinalizadorlucrativo.com.br/wp-content/themes/hello-elementor/style.minc141.css	(from https://sinalizadorlucrativo.com.br/)
16:35:18	15672/15672	---M--	200	added ('OK')	text/css	date:Sat,%2010%20Sep%202022%2018:42:42%20GMT	https://sinalizadorlucrativo.com.br/wp-content/themes/hello-elementor/theme.min.css?ver=2.6.1	C:/Meus%20Sites/SinalizadorLucrativo/sinalizadorlucrativo.com.br/wp-content/themes/hello-elementor/theme.minc141.css	(from https://sinalizadorlucrativo.com.br/)
16:35:18	19675/19675	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Oct%202022%2003:16:37%20GMT	https://sinalizadorlucrativo.com.br/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=1665544597	C:/Meus%20Sites/SinalizadorLucrativo/sinalizadorlucrativo.com.br/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min30de.css	(from https://sinalizadorlucrativo.com.br/)
16:35:19	13805/13805	---M--	200	added ('OK')	text/css	date:Sun,%2011%20Sep%202022%2018:58:55%20GMT	https://sinalizadorlucrativo.com.br/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.7.4	C:/Meus%20Sites/SinalizadorLucrativo/sinalizadorlucrativo.com.br/wp-content/plugins/elementor/assets/css/frontend-legacy.minf6c4.css	(from https://sinalizadorlucrativo.com.br/)
